manufacturer,name,gpuName,architecture,generation,releaseDate,baseClock,boostClock,memoryClock,memorySize,memoryType,memoryBus,memoryBandwidth,shaders,tensorCores,rtCores,fp32,fp16,fp64,tdp,cuda,processSize,transistors,dieSize,foundry,busInterface,sms,l2Cache,url
AMD,Radeon RX Vega 11 Embedded,Raven,GCN 5.0,Vega IGP(Raven Ridge),2018-04-19,300.0,1251.0,,,System Shared,,,704,,,1.76,3.52,0.11,25,,14,4.94,210.0,GlobalFoundries,IGP,,,https://www.techpowerup.com/gpu-specs/radeon-rx-vega-11-embedded.c3222
AMD,Radeon RX Vega 56 Mobile,Vega 10,GCN 5.0,Polaris Mobile(Vega),2018-06-01,1138.0,1301.0,800.0,8.0,HBM2,2048,409.6,3584,,,9.33,18.65,0.58,120,,14,12.5,495.0,GlobalFoundries,PCIe 3.0 x16,,4.0,https://www.techpowerup.com/gpu-specs/radeon-rx-vega-56-mobile.c3333
AMD,Radeon RX Vega M GH,Polaris 22,GCN 4.0,Vega(Vega M),2018-02-01,1063.0,1190.0,800.0,4.0,HBM2,1024,204.8,1536,,,3.66,3.66,0.23,100,,14,5.0,208.0,GlobalFoundries,IGP,,1.0,https://www.techpowerup.com/gpu-specs/radeon-rx-vega-m-gh.c3056
AMD,Radeon RX Vega M GL,Polaris 22,GCN 4.0,Vega(Vega M),2018-02-01,931.0,1011.0,700.0,4.0,HBM2,1024,179.2,1280,,,2.59,2.59,0.16,65,,14,5.0,208.0,GlobalFoundries,IGP,,1.0,https://www.techpowerup.com/gpu-specs/radeon-rx-vega-m-gl.c3061
AMD,Radeon Vega 11 Embedded,Raven,GCN 5.0,Vega IGP(Great Horned Owl),2018-02-13,300.0,1301.0,,,System Shared,,,704,,,1.83,3.66,0.11,25,,14,4.94,210.0,GlobalFoundries,IGP,,,https://www.techpowerup.com/gpu-specs/radeon-vega-11-embedded.c3213
AMD,Radeon Vega 3 Embedded,Picasso-M,GCN 5.0,Vega IGP(Picasso),2019-01-01,300.0,1200.0,,,System Shared,,,192,,,0.46,0.92,0.03,10,,12,4.94,210.0,GlobalFoundries,IGP,,,https://www.techpowerup.com/gpu-specs/radeon-vega-3-embedded.c3340
AMD,Radeon Vega 3 Mobile,Picasso-M,GCN 5.0,Vega IGP(Picasso Mobile),2020-01-06,300.0,1000.0,,,System Shared,,,192,,,0.38,0.77,0.02,15,,12,4.94,210.0,GlobalFoundries,IGP,,,https://www.techpowerup.com/gpu-specs/radeon-vega-3-mobile.c3592
AMD,Radeon Vega 6 Embedded,Raven,GCN 5.0,Vega IGP(Raven Ridge),2018-05-10,300.0,1280.0,,,System Shared,,,384,,,0.98,1.97,0.06,15,,14,4.94,210.0,GlobalFoundries,IGP,,,https://www.techpowerup.com/gpu-specs/radeon-vega-6-embedded.c3291
AMD,Radeon Vega 6 Mobile,Picasso-M,GCN 5.0,Vega IGP(Picasso Mobile),2019-01-06,300.0,1200.0,,,System Shared,,,384,,,0.92,1.84,0.06,15,,12,4.94,210.0,GlobalFoundries,IGP,,,https://www.techpowerup.com/gpu-specs/radeon-vega-6-mobile.c3615
AMD,Radeon Vega 8,Picasso,GCN 5.0,Vega IGP(Picasso),2019-07-07,300.0,1250.0,,,System Shared,,,512,,,1.28,2.56,0.08,15,,12,4.94,210.0,GlobalFoundries,IGP,,,https://www.techpowerup.com/gpu-specs/radeon-vega-8.c3286
AMD,Radeon Vega 8 Embedded,Raven,GCN 5.0,Vega IGP(Raven Ridge),2018-04-19,300.0,1101.0,,,System Shared,,,512,,,1.13,2.25,0.07,25,,14,4.94,210.0,GlobalFoundries,IGP,,,https://www.techpowerup.com/gpu-specs/radeon-vega-8-embedded.c3223
AMD,Zhongshan Subor Z+ GPU,Fenghuang,GCN 5.0,Console GPU(Zhongshan Subor),2018-08-03,1300.0,1300.0,1200.0,8.0,GDDR5,256,153.6,1536,,,3.99,7.99,0.25,100,,14,,397.0,TSMC,,,,https://www.techpowerup.com/gpu-specs/zhongshan-subor-z-gpu.c3301
Intel,Iris Plus Graphics 655 Mobile,Coffee Lake GT3e,Generation 9.5,HD Graphics-M(Coffee Lake),2018-04-03,300.0,1050.0,,,System Shared,,,384,,,0.81,1.61,0.2,15,,14,,,Intel,Ring Bus,,,https://www.techpowerup.com/gpu-specs/iris-plus-graphics-655-mobile.c3221
Intel,UHD Graphics 610,Comet Lake GT1,Generation 9.5,HD Graphics(Comet Lake),2020-04-30,350.0,1050.0,,,System Shared,,,96,,,0.2,0.4,0.05,15,,14,,,Intel,Ring Bus,,,https://www.techpowerup.com/gpu-specs/uhd-graphics-610.c3602
Intel,UHD Graphics 610 Mobile,Coffee Lake GT1,Generation 9.5,HD Graphics-M(Coffee Lake),2018-04-03,300.0,900.0,,,System Shared,,,96,,,0.17,0.35,0.04,15,,14,,,Intel,Ring Bus,,,https://www.techpowerup.com/gpu-specs/uhd-graphics-610-mobile.c3453
Intel,UHD Graphics 615 Mobile,Amber Lake GT2,Generation 9.5,HD Graphics-T(Amber Lake),2018-11-07,300.0,900.0,,,System Shared,,,192,,,0.35,0.69,0.09,15,,14,,,Intel,Ring Bus,,,https://www.techpowerup.com/gpu-specs/uhd-graphics-615-mobile.c3370
Intel,UHD Graphics 617 Mobile,Amber Lake GT2,Generation 9.5,HD Graphics-T(Amber Lake),2018-11-07,300.0,1050.0,,,System Shared,,,192,,,0.4,0.81,0.1,15,,14,,,Intel,Ring Bus,,,https://www.techpowerup.com/gpu-specs/uhd-graphics-617-mobile.c3338
Intel,UHD Graphics 630 Mobile,Coffee Lake GT2,Generation 9.5,HD Graphics-M(Coffee Lake),2018-04-03,350.0,1000.0,,,System Shared,,,192,,,0.38,0.77,0.1,15,,14,,,Intel,Ring Bus,,,https://www.techpowerup.com/gpu-specs/uhd-graphics-630-mobile.c3262
Intel,UHD Graphics P630,Comet Lake GT2,Generation 9.5,HD Graphics-W(Comet Lake),2020-05-13,350.0,1200.0,,,System Shared,,,192,,,0.46,0.92,0.12,15,,14,,,Intel,Ring Bus,,,https://www.techpowerup.com/gpu-specs/uhd-graphics-p630.c3676
Intel,UHD Graphics P630 Mobile,Comet Lake GT2,Generation 9.5,HD Graphics-WM(Comet Lake),2020-05-13,350.0,1250.0,,,System Shared,,,192,,,0.48,0.96,0.12,15,,14,,,Intel,Ring Bus,,,https://www.techpowerup.com/gpu-specs/uhd-graphics-p630-mobile.c3730
NVIDIA,GeForce GTX 1050 Mobile 3 GB,GP107,Pascal,GeForce 10 Mobile,2019-02-01,1366.0,1442.0,1752.0,3.0,GDDR5,96,84.1,768,,,2.21,0.03,0.07,75,6.1,14,3.3,132.0,Samsung,PCIe 3.0 x16,6,0.75,https://www.techpowerup.com/gpu-specs/geforce-gtx-1050-mobile-3-gb.c3408
NVIDIA,GeForce GTX 1650,TU117,Turing,GeForce 16,2019-04-23,1485.0,1665.0,2001.0,4.0,GDDR5,128,128.1,896,,,2.98,5.97,0.09,75,7.5,12,4.7,200.0,TSMC,PCIe 3.0 x16,14,1.0,https://www.techpowerup.com/gpu-specs/geforce-gtx-1650.c3366
NVIDIA,GeForce GTX 1650 Max-Q,TU117,Turing,GeForce 16 Mobile,2020-04-15,930.0,1125.0,1250.0,4.0,GDDR6,128,160.0,1024,,,2.3,4.61,0.07,30,7.5,12,4.7,200.0,TSMC,PCIe 3.0 x16,16,1.0,https://www.techpowerup.com/gpu-specs/geforce-gtx-1650-max-q.c3620
NVIDIA,GeForce GTX 1650 Mobile,TU117,Turing,GeForce 16 Mobile,2020-04-15,1380.0,1515.0,1500.0,4.0,GDDR6,128,192.0,1024,,,3.1,6.21,0.1,50,7.5,12,4.7,200.0,TSMC,PCIe 3.0 x16,16,1.0,https://www.techpowerup.com/gpu-specs/geforce-gtx-1650-mobile.c3633
NVIDIA,GeForce GTX 1650 SUPER,TU116,Turing,GeForce 16,2019-11-22,1530.0,1725.0,1500.0,4.0,GDDR6,128,192.0,1280,,,4.42,8.83,0.14,100,7.5,12,6.6,284.0,TSMC,PCIe 3.0 x16,20,1.0,https://www.techpowerup.com/gpu-specs/geforce-gtx-1650-super.c3411
NVIDIA,GeForce GTX 1660,TU116,Turing,GeForce 16,2019-03-14,1530.0,1785.0,2001.0,6.0,GDDR5,192,192.1,1408,,,5.03,10.05,0.16,120,7.5,12,6.6,284.0,TSMC,PCIe 3.0 x16,22,1.5,https://www.techpowerup.com/gpu-specs/geforce-gtx-1660.c3365
NVIDIA,GeForce GTX 1660 SUPER,TU116,Turing,GeForce 16,2019-10-29,1530.0,1785.0,1750.0,6.0,GDDR6,192,336.0,1408,,,5.03,10.05,0.16,125,7.5,12,6.6,284.0,TSMC,PCIe 3.0 x16,22,1.5,https://www.techpowerup.com/gpu-specs/geforce-gtx-1660-super.c3458
NVIDIA,GeForce GTX 1660 Ti,TU116,Turing,GeForce 16,2019-02-22,1500.0,1770.0,1500.0,6.0,GDDR6,192,288.0,1536,,,5.44,10.87,0.17,120,7.5,12,6.6,284.0,TSMC,PCIe 3.0 x16,24,1.5,https://www.techpowerup.com/gpu-specs/geforce-gtx-1660-ti.c3364
NVIDIA,GeForce GTX 1660 Ti Max-Q,TU116,Turing,GeForce 16 Mobile,2019-04-23,1140.0,1335.0,1500.0,6.0,GDDR6,192,288.0,1536,,,4.1,8.2,0.13,,7.5,12,6.6,284.0,TSMC,PCIe 3.0 x16,24,1.5,https://www.techpowerup.com/gpu-specs/geforce-gtx-1660-ti-max-q.c3382
NVIDIA,GeForce GTX 1660 Ti Mobile,TU116,Turing,GeForce 16 Mobile,2019-04-23,1455.0,1590.0,1500.0,6.0,GDDR6,192,288.0,1536,,,4.88,9.77,0.15,,7.5,12,6.6,284.0,TSMC,PCIe 3.0 x16,24,1.5,https://www.techpowerup.com/gpu-specs/geforce-gtx-1660-ti-mobile.c3369
NVIDIA,GeForce MX150 GP107,GP107,Pascal,GeForce MX(1xx),2019-02-23,1469.0,1532.0,1502.0,2.0,GDDR5,64,48.06,384,,,1.18,0.02,0.04,25,6.1,14,3.3,132.0,Samsung,PCIe 3.0 x4,3,0.5,https://www.techpowerup.com/gpu-specs/geforce-mx150-gp107.c3443
NVIDIA,GeForce MX230,GP108,Pascal,GeForce MX(2xx),2019-02-21,1519.0,1531.0,1502.0,2.0,GDDR5,64,48.06,256,,,0.78,0.01,0.02,10,6.1,14,1.8,74.0,Samsung,PCIe 3.0 x4,2,0.5,https://www.techpowerup.com/gpu-specs/geforce-mx230.c3350
NVIDIA,GeForce MX250,GP108,Pascal,GeForce MX(2xx),2019-02-21,1519.0,1582.0,1502.0,2.0,GDDR5,64,48.06,384,,,1.22,0.02,0.04,25,6.1,14,1.8,74.0,Samsung,PCIe 3.0 x4,3,0.5,https://www.techpowerup.com/gpu-specs/geforce-mx250.c3353
NVIDIA,GeForce RTX 2060,TU106,Turing,GeForce 20,2019-01-07,1365.0,1680.0,1750.0,6.0,GDDR6,192,336.0,1920,240,30,6.45,12.9,0.2,160,7.5,12,10.8,445.0,TSMC,PCIe 3.0 x16,30,3.0,https://www.techpowerup.com/gpu-specs/geforce-rtx-2060.c3310
NVIDIA,GeForce RTX 2060 Max-Q Refresh,TU106B,Turing,GeForce 20 Mobile,2019-01-29,960.0,1200.0,1353.0,6.0,GDDR6,192,259.8,1920,240,30,4.61,9.22,0.14,115,7.5,12,10.8,445.0,TSMC,PCIe 3.0 x16,30,3.0,https://www.techpowerup.com/gpu-specs/geforce-rtx-2060-max-q-refresh.c3628
NVIDIA,GeForce RTX 2060 Mobile,TU106,Turing,GeForce 20 Mobile,2019-01-29,960.0,1200.0,1750.0,6.0,GDDR6,192,336.0,1920,240,30,4.61,9.22,0.14,115,7.5,12,10.8,445.0,TSMC,PCIe 3.0 x16,30,3.0,https://www.techpowerup.com/gpu-specs/geforce-rtx-2060-mobile.c3348
NVIDIA,GeForce RTX 2060 Mobile Refresh,TU106B,Turing,GeForce 20 Mobile,2019-01-29,1005.0,1560.0,1375.0,6.0,GDDR6,192,264.0,1920,240,30,5.99,11.98,0.19,65,7.5,12,10.8,445.0,TSMC,PCIe 3.0 x16,30,3.0,https://www.techpowerup.com/gpu-specs/geforce-rtx-2060-mobile-refresh.c3567
NVIDIA,GeForce RTX 2060 SUPER,TU106,Turing,GeForce 20,2019-07-09,1470.0,1650.0,1750.0,8.0,GDDR6,256,448.0,2176,272,34,7.18,14.36,0.22,175,7.5,12,10.8,445.0,TSMC,PCIe 3.0 x16,34,4.0,https://www.techpowerup.com/gpu-specs/geforce-rtx-2060-super.c3441
NVIDIA,GeForce RTX 2060 SUPER Mobile,TU106,Turing,GeForce 20 Mobile,2019-07-09,1470.0,1530.0,1750.0,8.0,GDDR6,256,448.0,2176,272,34,6.66,13.32,0.21,175,7.5,12,10.8,445.0,TSMC,PCIe 3.0 x16,34,4.0,https://www.techpowerup.com/gpu-specs/geforce-rtx-2060-super-mobile.c4150
