manufacturer,name,gpuName,architecture,generation,releaseDate,baseClock,boostClock,memoryClock,memorySize,memoryType,memoryBus,memoryBandwidth,shaders,tensorCores,rtCores,fp32,fp16,fp64,tdp,cuda,processSize,transistors,dieSize,foundry,busInterface,sms,l2Cache,url
ATI,Color Emulation Card,CW16800-A,Wonder,MDA/CGA,1986-08-04,10.0,10.0,5.0,3.2e-05,DRAM,32,0.02,,,,,,,,,800,,90.0,,ISA 8-bit,,,https://www.techpowerup.com/gpu-specs/color-emulation-card.c3760
ATI,Graphics Solution,CW16800-A,Wonder,MDA/CGA,1986-09-22,10.0,10.0,5.0,6.4e-05,DRAM,32,0.02,,,,,,,,,800,,90.0,,ISA 8-bit,,,https://www.techpowerup.com/gpu-specs/graphics-solution.c3176
ATI,EGA Wonder 800+,18800-1,Wonder,EGA,1988-01-01,25.0,25.0,8.0,0.00025,DRAM,32,0.032,,,,,,,,,800,,90.0,NEC,ISA 8-bit,,,https://www.techpowerup.com/gpu-specs/ega-wonder-800.c3182
ATI,Graphics Solution Plus,CW16800-B,Wonder,MDA/CGA,1987-03-23,10.0,10.0,5.0,6.4e-05,DRAM,32,0.02,,,,,,,,,800,,90.0,,ISA 8-bit,,,https://www.techpowerup.com/gpu-specs/graphics-solution-plus.c3175
ATI,VGA Improved Performance,CHIPS P82C441,Wonder,VGA,1987-09-28,10.0,10.0,10.0,0.00025,DRAM,32,0.04,,,,,,,,,800,,,,ISA 8-bit,,,https://www.techpowerup.com/gpu-specs/vga-improved-performance.c3181
ATI,EGA Wonder 480,CHIPS P82C435,Wonder,EGA,1988-12-26,10.0,10.0,8.0,0.00025,DRAM,32,0.032,,,,,,,,,800,,,,ISA 8-bit,,,https://www.techpowerup.com/gpu-specs/ega-wonder-480.c3179
ATI,VGA Wonder,18800-1,Wonder,VGA,1990-02-05,10.0,10.0,10.0,0.00025,DRAM,32,0.04,,,,,,,,,800,,90.0,NEC,ISA 8-bit,,,https://www.techpowerup.com/gpu-specs/vga-wonder.c3163
ATI,8514-Ultra,Mach8,Mach,Mach 8,1992-01-01,10.0,10.0,10.0,0.001,VRAM,32,0.04,,,,,,,,,800,,90.0,NEC,ISA 16-bit,,,https://www.techpowerup.com/gpu-specs/8514-ultra.c3161
ATI,Graphics Ultra,Mach8,Mach,Mach 8,1992-01-01,10.0,10.0,10.0,0.001,VRAM,32,0.04,,,,,,,,,800,,90.0,NEC,ISA 16-bit,,,https://www.techpowerup.com/gpu-specs/graphics-ultra.c2031
ATI,Graphics Ultra Pro ISA,Mach32,Mach,Mach 32,1992-01-01,10.0,10.0,10.0,0.002,DRAM,64,0.08,,,,,,,,,700,,90.0,,ISA 16-bit,,,https://www.techpowerup.com/gpu-specs/graphics-ultra-pro-isa.c2032
ATI,Graphics Vantage,Mach8,Mach,Mach 8,1992-01-01,10.0,10.0,10.0,0.001,DRAM,32,0.04,,,,,,,,,800,,90.0,NEC,ISA 16-bit,,,https://www.techpowerup.com/gpu-specs/graphics-vantage.c1680
ATI,Graphics Wonder PCI,Mach32,Mach,Mach 32,1992-01-01,10.0,10.0,10.0,0.001,DRAM,64,0.08,,,,,,,,,700,,90.0,,PCI,,,https://www.techpowerup.com/gpu-specs/graphics-wonder-pci.c3169
ATI,Graphics Wonder VLB,Mach32,Mach,Mach 32,1992-01-01,10.0,10.0,10.0,0.001,DRAM,64,0.08,,,,,,,,,700,,90.0,,VLB,,,https://www.techpowerup.com/gpu-specs/graphics-wonder-vlb.c3162
ATI,VGA Wonder XL24,28800-6,Wonder,VGA,1992-03-16,10.0,10.0,10.0,0.001,DRAM,32,0.04,,,,,,,,,800,,90.0,NEC,ISA 16-bit,,,https://www.techpowerup.com/gpu-specs/vga-wonder-xl24.c2039
ATI,Graphics Ultra Pro PCI,Mach32,Mach,Mach 32,1993-01-01,66.0,66.0,83.0,0.001,DRAM,64,0.664,,,,,,,,,700,,90.0,,PCI,,,https://www.techpowerup.com/gpu-specs/graphics-ultra-pro-pci.c2440
ATI,Graphics Ultra Pro VLB,Mach32,Mach,Mach 32,1993-01-01,10.0,10.0,10.0,0.001,VRAM,64,0.08,,,,,,,,,700,,90.0,,VLB,,,https://www.techpowerup.com/gpu-specs/graphics-ultra-pro-vlb.c2033
ATI,Graphics Ultra XLR VLB,Mach32,Mach,Mach 32,1993-01-01,10.0,10.0,10.0,0.001,VRAM,64,0.08,,,,,,,,,700,,90.0,,VLB,,,https://www.techpowerup.com/gpu-specs/graphics-ultra-xlr-vlb.c3171
Sony,Playstation GPU 600nm,GTE,,Console GPU(Sony),1994-12-03,53.0,53.0,33.0,0.001,VRAM,32,0.132,,,,,,,11,,600,,128.0,Sony,,,,https://www.techpowerup.com/gpu-specs/playstation-gpu-600nm.c3707
NVIDIA,NV1,NV1,,NV1,1995-09-30,75.0,75.0,60.0,0.002,EDO,64,0.48,,,,,,,2,,500,,135.0,ST,PCI,,,https://www.techpowerup.com/gpu-specs/nv1.c2015
NVIDIA,STG-2000,NV1,,NV1,1995-09-30,75.0,75.0,50.0,0.001,FPM,64,0.4,,,,,,,2,,500,,135.0,ST,PCI,,,https://www.techpowerup.com/gpu-specs/stg-2000.c1312
ATI,Graphics Pro Turbo,Mach64,Mach,Mach 64,1995-01-01,40.0,40.0,40.0,0.002,VRAM,64,0.32,,,,,,,,,600,,90.0,,PCI,,,https://www.techpowerup.com/gpu-specs/graphics-pro-turbo.c3173
ATI,Graphics Xpression,Mach64,Mach,Mach 64,1995-11-01,40.0,40.0,40.0,0.002,EDO,64,0.32,,,,,,,,,600,,90.0,,PCI,,,https://www.techpowerup.com/gpu-specs/graphics-xpression.c883
ATI,Graphics Xpression ISA,Mach64,Mach,Mach 64,1995-01-01,40.0,40.0,40.0,0.002,DRAM,64,0.32,,,,,,,,,600,,90.0,,PCI,,,https://www.techpowerup.com/gpu-specs/graphics-xpression-isa.c3174
ATI,Video Xpression,Mach64,Mach,Mach 64,1996-05-21,62.0,62.0,62.0,0.001,EDO,64,0.496,,,,,,,,,600,,90.0,,PCI,,,https://www.techpowerup.com/gpu-specs/video-xpression.c3164
ATI,WinBoost,Mach64,Mach,Mach 64,1995-11-01,40.0,40.0,40.0,0.002,EDO,64,0.32,,,,,,,,,600,,90.0,,PCI,,,https://www.techpowerup.com/gpu-specs/winboost.c3172
ATI,WinCharger,Mach64,Mach,Mach 64,1995-11-01,40.0,40.0,40.0,0.002,EDO,64,0.32,,,,,,,,,600,,90.0,,PCI,,,https://www.techpowerup.com/gpu-specs/wincharger.c3168
ATI,WinTurbo,Mach64,Mach,Mach 64,1995-01-01,40.0,40.0,40.0,0.002,VRAM,64,0.32,,,,,,,,,600,,90.0,,PCI,,,https://www.techpowerup.com/gpu-specs/winturbo.c2030
ATI,3D Rage,Mach64 GT,Mach,Rage,1996-04-01,44.0,44.0,66.0,0.002,EDO,64,0.528,,,,,,,,,500,0.01,90.0,,PCI,,,https://www.techpowerup.com/gpu-specs/3d-rage.c3166
ATI,3D Rage II,Mach64 GT-B,Mach,Rage 2,1996-09-05,60.0,60.0,83.0,0.004,SDR,64,0.664,,,,,,,,,500,0.01,86.0,SGS Microelettronica,PCI,,,https://www.techpowerup.com/gpu-specs/3d-rage-ii.c873
ATI,3D Rage II+ DVD,Mach64 GT-B,Mach,Rage 2,1996-09-01,60.0,60.0,83.0,0.004,SDR,64,0.664,,,,,,,,,500,0.01,86.0,UMC,PCI,,,https://www.techpowerup.com/gpu-specs/3d-rage-ii-dvd.c871
ATI,All-In-Wonder 3D Rage II+ DVD,Mach64 GT-B,Mach,All-In-Wonder(3D Rage),1996-09-01,60.0,60.0,83.0,0.004,SDR,64,0.664,,,,,,,,,500,0.01,86.0,UMC,PCI,,,https://www.techpowerup.com/gpu-specs/all-in-wonder-3d-rage-ii-dvd.c4078
3dfx,Voodoo Graphics 4 MB,SST1,,Voodoo1,1996-10-07,50.0,50.0,50.0,0.004,EDO,128,0.8,,,,,,,15,,500,,135.0,TSMC,PCI,,,https://www.techpowerup.com/gpu-specs/voodoo-graphics-4-mb.c3570
NVIDIA,Riva 128,NV3,,Riva,1997-04-01,100.0,100.0,100.0,0.004,SDR,128,1.6,,,,,,,4,,350,,71.0,ST,AGP 2x,,,https://www.techpowerup.com/gpu-specs/riva-128.c1306
NVIDIA,Riva 128 PCI,NV3,,Riva,1997-04-01,100.0,100.0,100.0,0.004,SDR,128,1.6,,,,,,,4,,350,,71.0,ST,PCI,,,https://www.techpowerup.com/gpu-specs/riva-128-pci.c1307
ATI,3D Rage IIC AGP,Rage IIC,Rage 2,Rage 2,1997-04-01,60.0,60.0,83.0,0.004,SDR,64,0.664,,,,,,,,,500,0.01,39.0,UMC,AGP 2x,,,https://www.techpowerup.com/gpu-specs/3d-rage-iic-agp.c1719
ATI,3D Rage IIC PCI,Rage IIC,Rage 2,Rage 2,1997-04-01,60.0,60.0,83.0,0.002,SDR,64,0.664,,,,,,,,,500,0.01,39.0,UMC,PCI,,,https://www.techpowerup.com/gpu-specs/3d-rage-iic-pci.c874
ATI,3D Rage PRO AGP,Rage PRO,Rage 3,Rage 3,1997-03-01,75.0,75.0,75.0,0.002,SDR,64,0.6,,,,,,,,,350,0.01,47.0,UMC,AGP 1x,,,https://www.techpowerup.com/gpu-specs/3d-rage-pro-agp.c4359
ATI,3D Rage PRO AGP 2X,Rage PRO,Rage 3,Rage 3,1997-03-01,75.0,75.0,75.0,0.002,SDR,64,0.6,,,,,,,,,350,0.01,47.0,UMC,AGP 2x,,,https://www.techpowerup.com/gpu-specs/3d-rage-pro-agp-2x.c4360
ATI,3D Rage PRO PCI,Rage PRO,Rage 3,Rage 3,1997-03-01,75.0,75.0,75.0,0.008,SDR,64,0.6,,,,,,,,,350,0.01,47.0,UMC,PCI,,,https://www.techpowerup.com/gpu-specs/3d-rage-pro-pci.c1717
ATI,Rage LT PRO AGP,Mach64 LT,Mach,Rage Mobility,1997-11-01,75.0,75.0,100.0,0.008,SDR,64,0.8,,,,,,,,,500,,90.0,UMC,AGP 2x,,,https://www.techpowerup.com/gpu-specs/rage-lt-pro-agp.c1594
ATI,Rage PRO Turbo AGP,Rage PRO Turbo,Rage 3,Rage 3,1997-03-01,75.0,75.0,75.0,0.004,SDR,64,0.6,,,,,,,,,350,0.01,67.0,UMC,AGP 1x,,,https://www.techpowerup.com/gpu-specs/rage-pro-turbo-agp.c876
ATI,Rage PRO Turbo PCI,Rage PRO Turbo,Rage 3,Rage 3,1997-03-01,75.0,75.0,75.0,0.008,SDR,64,0.6,,,,,,,,,350,0.01,67.0,UMC,PCI,,,https://www.techpowerup.com/gpu-specs/rage-pro-turbo-pci.c1715
ATI,XPert XL AGP 2X,Rage PRO,Rage 3,Rage 3,1997-03-01,75.0,75.0,100.0,0.002,SDR,64,0.8,,,,,,,,,350,0.01,47.0,UMC,AGP 2x,,,https://www.techpowerup.com/gpu-specs/xpert-xl-agp-2x.c875
Sony,Playstation GPU 350nm,GTE-2,,Console GPU(Sony),1997-11-13,53.0,53.0,33.0,0.001,SGRAM,32,0.132,,,,,,,10,,350,,128.0,Sony,,,,https://www.techpowerup.com/gpu-specs/playstation-gpu-350nm.c3708
NVIDIA,Riva 128ZX,NV3,,Riva,1998-02-23,100.0,100.0,100.0,0.008,SDR,128,1.6,,,,,,,,,350,,71.0,ST,AGP 2x,,,https://www.techpowerup.com/gpu-specs/riva-128zx.c1311
NVIDIA,Riva TNT,NV4,Fahrenheit,Riva,1998-03-23,90.0,90.0,110.0,0.016,SDR,128,1.76,,,,,,,,,350,0.01,128.0,TSMC,AGP 2x,,,https://www.techpowerup.com/gpu-specs/riva-tnt.c1308
Intel,i740,Auburn,i740,Graphics,1998-02-12,66.0,66.0,100.0,0.004,SDR,64,0.8,,,,,,,,,150,,,Intel,AGP 2x,,,https://www.techpowerup.com/gpu-specs/i740.c1288
Intel,i740 8 MB,Auburn,i740,Graphics,1998-02-12,66.0,66.0,100.0,0.008,SDR,64,0.8,,,,,,,,,150,,,Intel,AGP 2x,,,https://www.techpowerup.com/gpu-specs/i740-8-mb.c1551
Intel,i740 Graphics,Auburn,i740,Graphics(IGP),1998-01-01,66.0,66.0,,,System Shared,,,,,,,,,,,150,,,Intel,AGP 2x,,,https://www.techpowerup.com/gpu-specs/i740-graphics.c1550
Intel,i752 Graphics,Portola,Generation 1.0,Graphics(IGP),1998-01-01,100.0,100.0,,,System Shared,,,,,,,,,,,150,,,Intel,AGP 2x,,,https://www.techpowerup.com/gpu-specs/i752-graphics.c1289
ATI,Rage 128 GL,Rage 128,Rage 4,Rage GL,1998-08-27,80.0,80.0,60.0,0.032,SDR,128,0.96,,,,,,,,,250,0.01,89.0,TSMC,AGP 2x,,,https://www.techpowerup.com/gpu-specs/rage-128-gl.c877
ATI,Rage 128 GL PCI,Rage 128,Rage 4,Rage GL,1998-08-27,103.0,103.0,103.0,0.032,SDR,128,1.648,,,,,,,,,250,0.01,89.0,TSMC,PCI,,,https://www.techpowerup.com/gpu-specs/rage-128-gl-pci.c1718
ATI,Rage 128 PRO Ultra GL,Rage 128,Rage 4,Rage GL,1998-08-01,130.0,130.0,130.0,0.016,DDR,64,2.08,,,,,,,,,250,0.01,89.0,TSMC,AGP 4x,,,https://www.techpowerup.com/gpu-specs/rage-128-pro-ultra-gl.c2184
ATI,Rage 128 VR AGP,Rage 128,Rage 4,Rage 4,1998-08-01,80.0,80.0,125.0,0.032,DDR,64,2.0,,,,,,,,,250,0.01,89.0,TSMC,AGP 2x,,,https://www.techpowerup.com/gpu-specs/rage-128-vr-agp.c879
ATI,Rage 128 VR PCI,Rage 128,Rage 4,Rage 4,1998-08-01,80.0,80.0,125.0,0.032,DDR,64,2.0,,,,,,,,,250,0.01,89.0,TSMC,PCI,,,https://www.techpowerup.com/gpu-specs/rage-128-vr-pci.c3693
ATI,Rage XL PCI,Rage XL,Rage 3,Rage 3,1999-01-11,83.0,83.0,83.0,0.008,SDR,32,0.332,,,,,,,,,350,0.01,47.0,TSMC,PCI,,,https://www.techpowerup.com/gpu-specs/rage-xl-pci.c3167
3dfx,Voodoo Banshee AGP 16 MB,Banshee,,Voodoo Banshee,1998-06-22,100.0,100.0,100.0,0.016,SDR,128,1.6,,,,,,,15,,350,,137.0,TSMC,AGP 1x,,,https://www.techpowerup.com/gpu-specs/voodoo-banshee-agp-16-mb.c3561
3dfx,Voodoo Banshee PCI 16 MB,Banshee,,Voodoo Banshee,1998-06-22,100.0,100.0,100.0,0.016,SDR,128,1.6,,,,,,,15,,350,,137.0,TSMC,PCI,,,https://www.techpowerup.com/gpu-specs/voodoo-banshee-pci-16-mb.c3562
3dfx,Voodoo2 12 MB,SST2,,Voodoo2,1998-02-02,90.0,90.0,90.0,0.012,EDO,192,2.16,,,,,,,15,,350,,119.0,TSMC,PCI,,,https://www.techpowerup.com/gpu-specs/voodoo2-12-mb.c3560
3dfx,Voodoo2 8 MB,SST2,,Voodoo2,1998-02-02,90.0,90.0,90.0,0.008,EDO,192,2.16,,,,,,,15,,350,,119.0,TSMC,PCI,,,https://www.techpowerup.com/gpu-specs/voodoo2-8-mb.c3569
Matrox,Marvel G200,Eclipse,G200,G Series(G2xx),1998-01-01,84.0,84.0,112.0,0.008,SDR,64,0.896,,,,,,,,,350,0.01,,UMC,AGP 2x,,,https://www.techpowerup.com/gpu-specs/marvel-g200.c3724
Matrox,Millennium G200,Eclipse,G200,G Series(G2xx),1998-01-01,84.0,84.0,143.0,0.008,SGR,64,1.144,,,,,,,,,350,0.01,,UMC,PCI,,,https://www.techpowerup.com/gpu-specs/millennium-g200.c3729
Matrox,Millennium G200 SD,Eclipse,G200,G Series(G2xx),1998-01-01,84.0,84.0,112.0,0.008,SDR,64,0.896,,,,,,,,,350,0.01,,UMC,PCI,,,https://www.techpowerup.com/gpu-specs/millennium-g200-sd.c3722
Matrox,Mystique G200,Eclipse,G200,G Series(G2xx),1998-01-01,84.0,84.0,112.0,0.008,SDR,64,0.896,,,,,,,,,350,0.01,,UMC,AGP 2x,,,https://www.techpowerup.com/gpu-specs/mystique-g200.c3723
Matrox,Productiva G100,Twister,G100,G Series(G1xx),1998-01-01,41.0,41.0,62.0,0.002,SGR,64,0.496,,,,,,,,,350,,,UMC,AGP 2x,,,https://www.techpowerup.com/gpu-specs/productiva-g100.c3727
NVIDIA,GeForce 256 DDR,NV10,Celsius,GeForce 256,1999-12-23,120.0,120.0,150.0,0.032,DDR,128,4.8,,,,,,,,,220,0.02,139.0,TSMC,AGP 4x,,,https://www.techpowerup.com/gpu-specs/geforce-256-ddr.c734
NVIDIA,GeForce 256 SDR,NV10,Celsius,GeForce 256,1999-10-11,120.0,120.0,143.0,0.032,SDR,64,1.144,,,,,,,,,220,0.02,139.0,TSMC,AGP 4x,,,https://www.techpowerup.com/gpu-specs/geforce-256-sdr.c731
NVIDIA,Quadro,NV10,Celsius,Quadro Celsius,1999-01-01,135.0,135.0,166.0,0.032,SDR,128,2.656,,,,,,,,,220,0.02,139.0,TSMC,AGP 4x,,,https://www.techpowerup.com/gpu-specs/quadro.c1374
NVIDIA,Riva TNT2,NV5,Fahrenheit,TNT2,1999-10-12,125.0,125.0,150.0,0.016,SDR,128,2.4,,,,,,,,,250,0.01,63.0,TSMC,AGP 4x,,,https://www.techpowerup.com/gpu-specs/riva-tnt2.c4130
NVIDIA,Riva TNT2 M64,NV5,Fahrenheit,TNT2,1999-10-12,125.0,125.0,143.0,0.016,SDR,64,1.144,,,,,,,,,250,0.01,63.0,TSMC,AGP 4x,,,https://www.techpowerup.com/gpu-specs/riva-tnt2-m64.c1304
NVIDIA,Riva TNT2 M64 Vanta,NV5,Fahrenheit,TNT2,1999-03-22,100.0,100.0,133.0,0.016,SDR,64,1.064,,,,,,,,,250,0.01,63.0,TSMC,AGP 4x,,,https://www.techpowerup.com/gpu-specs/riva-tnt2-m64-vanta.c1310
NVIDIA,Riva TNT2 M64 Vanta-16,NV5,Fahrenheit,TNT2,1999-03-22,100.0,100.0,133.0,0.016,SDR,64,1.064,,,,,,,,,250,0.01,63.0,TSMC,AGP 4x,,,https://www.techpowerup.com/gpu-specs/riva-tnt2-m64-vanta-16.c1305
NVIDIA,Riva TNT2 PRO,NV5,Fahrenheit,TNT2,1999-10-12,143.0,143.0,167.0,0.032,SDR,128,2.672,,,,,,,,,250,0.01,63.0,TSMC,AGP 4x,,,https://www.techpowerup.com/gpu-specs/riva-tnt2-pro.c1303
NVIDIA,Riva TNT2 Ultra,NV5,Fahrenheit,TNT2,1999-03-15,150.0,150.0,183.0,0.032,SDR,128,2.928,,,,,,,,,250,0.01,63.0,TSMC,AGP 4x,,,https://www.techpowerup.com/gpu-specs/riva-tnt2-ultra.c1302
Intel,i752,Portola,Generation 1.0,Graphics,1999-04-27,100.0,100.0,133.0,0.016,SDR,64,1.064,,,,,,,,,150,,,Intel,AGP 2x,,,https://www.techpowerup.com/gpu-specs/i752.c3671
Intel,i810 Graphics,Whitney,Generation 1.0,Graphics(IGP),1999-01-01,133.0,133.0,,,System Shared,,,,,,,,,,,150,,,Intel,FSB,,,https://www.techpowerup.com/gpu-specs/i810-graphics.c1290
ATI,All-In-Wonder 128,Rage 128,Rage 4,All-In-Wonder(128),1999-06-16,90.0,90.0,90.0,0.032,SDR,128,1.44,,,,,,,,,250,0.01,89.0,TSMC,AGP 4x,,,https://www.techpowerup.com/gpu-specs/all-in-wonder-128.c3653
ATI,All-In-Wonder 128 PCI,Rage 128,Rage 4,All-In-Wonder(128),1999-06-16,90.0,90.0,90.0,0.016,SDR,128,1.44,,,,,,,,,250,0.01,89.0,TSMC,PCI,,,https://www.techpowerup.com/gpu-specs/all-in-wonder-128-pci.c1761
ATI,All-In-Wonder 128 PRO,Rage 128 PRO,Rage 4,All-In-Wonder(128),1999-06-16,120.0,120.0,120.0,0.032,SDR,128,1.92,,,,,,,,,250,0.01,98.0,UMC,AGP 4x,,,https://www.techpowerup.com/gpu-specs/all-in-wonder-128-pro.c1762
ATI,All-In-Wonder 128 PRO Ultra,Rage 128,Rage 4,All-In-Wonder(128),1999-06-16,134.0,134.0,134.0,0.032,SDR,128,2.144,,,,,,,,,250,0.01,89.0,TSMC,AGP 4x,,,https://www.techpowerup.com/gpu-specs/all-in-wonder-128-pro-ultra.c3652
ATI,Fire GL1,IBM,IBM,Fire GL,1999-03-01,45.0,45.0,100.0,0.032,SDR,256,3.2,,,,,,,,,250,,,IBM,AGP 2x,,,https://www.techpowerup.com/gpu-specs/fire-gl1.c3661
ATI,Rage 128 PRO,Rage 128 PRO,Rage 4,Rage 4,1999-08-01,118.0,118.0,143.0,0.032,SDR,128,2.288,,,,,,,,,250,0.01,98.0,UMC,AGP 4x,,,https://www.techpowerup.com/gpu-specs/rage-128-pro.c1716
ATI,Rage 128 PRO Ultra,Rage 128 PRO,Rage 4,Rage 4,1999-08-01,130.0,130.0,130.0,0.032,SDR,64,1.04,,,,,,,,,250,0.01,98.0,UMC,AGP 4x,,,https://www.techpowerup.com/gpu-specs/rage-128-pro-ultra.c2034
ATI,Rage 128 Ultra,Rage 128 PRO,Rage 4,Rage 4,1999-08-01,130.0,130.0,130.0,0.016,DDR,64,2.08,,,,,,,,,250,0.01,98.0,UMC,AGP 4x,,,https://www.techpowerup.com/gpu-specs/rage-128-ultra.c1721
ATI,Rage Fury,Rage 128 PRO,Rage 4,Rage 4,1999-08-01,80.0,80.0,120.0,0.032,SDR,128,1.92,,,,,,,,,250,0.01,98.0,UMC,AGP 2x,,,https://www.techpowerup.com/gpu-specs/rage-fury.c878
ATI,Rage Fury MAXX,Rage 128 PRO,Rage 4,Rage 4,1999-10-01,125.0,125.0,143.0,0.032,SDR,128,2.288,,,,,,,,,250,0.01,98.0,UMC,AGP 4x,,,https://www.techpowerup.com/gpu-specs/rage-fury-maxx.c644
ATI,Rage Mobility 128 AGP 2X,M3,Rage 4,Rage Mobility(128),1999-10-01,105.0,105.0,105.0,0.016,SDR,64,0.84,,,,,,,,,250,0.01,70.0,TSMC,AGP 2x,,,https://www.techpowerup.com/gpu-specs/rage-mobility-128-agp-2x.c1217
ATI,Rage Mobility 128 AGP 4X,M4,Rage 4,Rage Mobility(128),1999-10-01,105.0,105.0,105.0,0.016,DDR,64,1.68,,,,,,,,,250,0.01,70.0,TSMC,AGP 4x,,,https://www.techpowerup.com/gpu-specs/rage-mobility-128-agp-4x.c1787
ATI,Rage Mobility-CL,Rage Mobility,Rage 4,Rage Mobility,1999-02-01,75.0,75.0,70.0,0.008,SDR,64,0.56,,,,,,,,,350,,70.0,TSMC,AGP 2x,,,https://www.techpowerup.com/gpu-specs/rage-mobility-cl.c2177
ATI,Rage Mobility-M,Rage Mobility,Rage 4,Rage Mobility(Mx),1999-02-01,75.0,75.0,70.0,0.004,SDR,64,0.56,,,,,,,,,350,,70.0,TSMC,AGP 2x,,,https://www.techpowerup.com/gpu-specs/rage-mobility-m.c2176
ATI,Rage Mobility-M1,M1,Rage 4,Rage Mobility(Mx),1999-02-01,83.0,83.0,125.0,0.008,SDR,64,1.0,,,,,,,,,250,0.01,70.0,TSMC,AGP 2x,,,https://www.techpowerup.com/gpu-specs/rage-mobility-m1.c1593
ATI,Rage Mobility-M3,M3,Rage 4,Rage Mobility(Mx),1999-10-01,105.0,105.0,105.0,0.008,SDR,64,0.84,,,,,,,,,250,0.01,70.0,TSMC,AGP 2x,,,https://www.techpowerup.com/gpu-specs/rage-mobility-m3.c2178
ATI,Rage Mobility-M4,M4,Rage 4,Rage Mobility(Mx),1999-10-01,105.0,105.0,105.0,0.016,SDR,64,0.84,,,,,,,,,250,0.01,70.0,TSMC,AGP 4x,,,https://www.techpowerup.com/gpu-specs/rage-mobility-m4.c2179
ATI,Rage Mobility-P,Rage Mobility,Rage 4,Rage Mobility,1999-02-01,75.0,75.0,70.0,0.008,SDR,64,0.56,,,,,,,,,350,,70.0,TSMC,AGP 2x,,,https://www.techpowerup.com/gpu-specs/rage-mobility-p.c2175
3dfx,Velocity 100,Avenger,,Voodoo3,1999-07-26,143.0,143.0,143.0,0.008,SDR,128,2.288,,,,,,,15,,250,,74.0,TSMC,AGP 2x,,,https://www.techpowerup.com/gpu-specs/velocity-100.c3552
3dfx,Voodoo3 1000 AGP,Avenger,,Voodoo3,1999-03-01,143.0,143.0,143.0,0.016,SDR,128,2.288,,,,,,,15,,250,,74.0,TSMC,AGP 2x,,,https://www.techpowerup.com/gpu-specs/voodoo3-1000-agp.c3554
3dfx,Voodoo3 2000 AGP,Avenger,,Voodoo3,1999-04-03,143.0,143.0,143.0,0.016,SDR,128,2.288,,,,,,,15,,250,,74.0,TSMC,AGP 2x,,,https://www.techpowerup.com/gpu-specs/voodoo3-2000-agp.c3568
3dfx,Voodoo3 2000 PCI,Avenger,,Voodoo3,1999-04-03,143.0,143.0,143.0,0.016,SDR,128,2.288,,,,,,,15,,250,,74.0,TSMC,PCI,,,https://www.techpowerup.com/gpu-specs/voodoo3-2000-pci.c3556
3dfx,Voodoo3 3000 AGP,Avenger,,Voodoo3,1999-04-03,166.0,166.0,166.0,0.016,SDR,128,2.656,,,,,,,15,,250,,74.0,TSMC,AGP 2x,,,https://www.techpowerup.com/gpu-specs/voodoo3-3000-agp.c3555
3dfx,Voodoo3 3000 PCI,Avenger,,Voodoo3,1999-04-03,166.0,166.0,166.0,0.016,SDR,128,2.656,,,,,,,15,,250,,74.0,TSMC,PCI,,,https://www.techpowerup.com/gpu-specs/voodoo3-3000-pci.c3553
3dfx,Voodoo3 3500 TV AGP,Avenger,,Voodoo3,1999-06-01,183.0,183.0,183.0,0.016,SDR,128,2.928,,,,,,,15,,250,,74.0,TSMC,AGP 2x,,,https://www.techpowerup.com/gpu-specs/voodoo3-3500-tv-agp.c3557
Matrox,Marvel G400-TV,Toucan,G400,G Series(G4xx),1999-05-20,125.0,125.0,166.0,0.016,SDR,128,2.656,,,,,,,,,250,0.01,,UMC,PCI,,,https://www.techpowerup.com/gpu-specs/marvel-g400-tv.c3721
Matrox,Millennium G200A,Calao,G200,G Series(G2xx),1999-01-01,84.0,84.0,112.0,0.008,SDR,64,0.896,,,,,,,,,250,0.01,,UMC,PCI,,,https://www.techpowerup.com/gpu-specs/millennium-g200a.c3725
Matrox,Millennium G250,Calao,G200,G Series(G2xx),1999-01-01,96.0,96.0,128.0,0.008,SDR,64,1.024,,,,,,,,,250,0.01,,UMC,PCI,,,https://www.techpowerup.com/gpu-specs/millennium-g250.c3726
Matrox,Millennium G400,Toucan,G400,G Series(G4xx),1999-05-20,125.0,125.0,166.0,0.032,SDR,128,2.656,,,,,,,,,250,0.01,,UMC,PCI,,,https://www.techpowerup.com/gpu-specs/millennium-g400.c3720
Matrox,Millennium G400 MAX,Toucan,G400,G Series(G4xx),1999-05-20,150.0,150.0,200.0,0.032,SDR,128,3.2,,,,,,,,,250,0.01,,UMC,PCI,,,https://www.techpowerup.com/gpu-specs/millennium-g400-max.c3719
NVIDIA,GeForce2 Go,NV11B,Celsius,GeForce2 Go,2000-11-11,143.0,143.0,166.0,0.064,DDR,64,2.656,,,,,,,2,,180,0.02,64.0,TSMC,AGP 4x,,,https://www.techpowerup.com/gpu-specs/geforce2-go.c1554
NVIDIA,GeForce2 GTS,NV15,Celsius,GeForce 2,2000-04-26,200.0,200.0,166.0,0.032,DDR,128,5.312,,,,,,,,,180,0.03,88.0,TSMC,AGP 4x,,,https://www.techpowerup.com/gpu-specs/geforce2-gts.c797
NVIDIA,GeForce2 GTS PRO,NV15,Celsius,GeForce 2,2000-04-26,200.0,200.0,200.0,0.032,DDR,128,6.4,,,,,,,,,180,0.03,88.0,TSMC,AGP 4x,,,https://www.techpowerup.com/gpu-specs/geforce2-gts-pro.c1722
