name,vendor,generation,socket,lithography,cores,threads,base_clock_ghz,boost_clock_ghz,tdp_w,memory_types,max_memory_gb,memory_channels,ecc_support,has_igpu,url
Ryzen AI MAX 392,AMD,Ryzen AI 300 Series,FP11,4nm,12,24,3.0,5.0,55,LPDDR5X-8000,128,2,No,Yes,https://pcspecs.io/cpus/ryzen-ai-max-392
Ryzen Ai Max 395,AMD,,,,,,,,,,,,,,https://pcspecs.io/cpus/ryzen-ai-max-395
Ryzen AI MAX PRO 380,AMD,Ryzen AI PRO 300 Series,FP11,4nm,6,12,3.0,5.0,55,LPDDR5X-8000,128,2,Yes,Yes,https://pcspecs.io/cpus/ryzen-ai-max-pro-380
Ryzen AI MAX PRO 385,AMD,Ryzen AI PRO 300 Series,FP11,4nm,8,16,3.6,5.0,55,LPDDR5X-8000,128,2,Yes,Yes,https://pcspecs.io/cpus/ryzen-ai-max-pro-385
Ryzen AI MAX+ 388,AMD,Ryzen AI 300 Series,FP11,4nm,8,16,3.1,5.0,55,LPDDR5X-8000,128,2,No,Yes,https://pcspecs.io/cpus/ryzen-ai-max-plus-388
Ryzen AI MAX+ PRO 395,AMD,Ryzen AI PRO 300 Series,FP11,4nm,16,32,3.0,5.1,55,LPDDR5X-8000,128,2,Yes,Yes,https://pcspecs.io/cpus/ryzen-ai-max-plus-pro-395
Ryzen Threadripper 1900X,AMD,Threadripper,sTRX4,,8,16,3.8,4.0,180,,,,,,https://en.wikipedia.org/wiki/List_of_AMD_Ryzen_processors
Ryzen Threadripper 1920X,AMD,Threadripper,sTRX4,,12,24,3.5,4.0,180,,,,,,https://en.wikipedia.org/wiki/List_of_AMD_Ryzen_processors
Ryzen Threadripper 1950X,AMD,Threadripper,sTRX4,,16,32,3.4,4.0,180,,,,,,https://en.wikipedia.org/wiki/List_of_AMD_Ryzen_processors
Ryzen Threadripper 2920X,AMD,Threadripper,sTRX4,,12,24,3.5,4.3,180,,,,,,https://en.wikipedia.org/wiki/List_of_AMD_Ryzen_processors
Ryzen Threadripper 2950X,AMD,Threadripper,sTRX4,,16,32,3.5,4.4,180,,,,,,https://en.wikipedia.org/wiki/List_of_AMD_Ryzen_processors
Ryzen Threadripper 2970WX,AMD,Threadripper,sWRX8,,24,48,3.0,4.2,250,,,,,,https://en.wikipedia.org/wiki/List_of_AMD_Ryzen_processors
Ryzen Threadripper 2990WX,AMD,Threadripper,sWRX8,,32,64,3.0,4.2,250,,,,,,https://en.wikipedia.org/wiki/List_of_AMD_Ryzen_processors
Ryzen Threadripper 3945WX,AMD,Threadripper,sWRX8,,12,24,4.0,4.3,,,,,,,https://en.wikipedia.org/wiki/List_of_AMD_Ryzen_processors
Ryzen Threadripper 3955WX,AMD,Threadripper,sWRX8,,16,32,3.9,4.3,,,,,,,https://en.wikipedia.org/wiki/List_of_AMD_Ryzen_processors
Ryzen Threadripper 3960X,AMD,Threadripper,sTRX4,,24,48,3.8,4.5,,,,,,,https://en.wikipedia.org/wiki/List_of_AMD_Ryzen_processors
Ryzen Threadripper 3970X,AMD,Threadripper,sTRX4,,32,64,3.7,4.5,,,,,,,https://en.wikipedia.org/wiki/List_of_AMD_Ryzen_processors
Ryzen Threadripper 3975WX,AMD,Threadripper,sWRX8,,32,64,3.5,4.2,,,,,,,https://en.wikipedia.org/wiki/List_of_AMD_Ryzen_processors
Ryzen Threadripper 3990X,AMD,Threadripper,sTRX4,,64,128,2.9,4.3,,,,,,,https://en.wikipedia.org/wiki/List_of_AMD_Ryzen_processors
Ryzen Threadripper 3995WX,AMD,Threadripper,sWRX8,,64,128,2.7,4.2,,,,,,,https://en.wikipedia.org/wiki/List_of_AMD_Ryzen_processors
Ryzen Threadripper 5945WX,AMD,Threadripper,sWRX8,,12,24,4.1,4.5,280,,,,,,https://en.wikipedia.org/wiki/List_of_AMD_Ryzen_processors
Ryzen Threadripper 5955WX,AMD,Threadripper,sWRX8,,16,32,4.0,4.5,280,,,,,,https://en.wikipedia.org/wiki/List_of_AMD_Ryzen_processors
